review_scores_rating
4.72
4.93
5.0
4.5
4.7
4.72
4.94
4.0
5.0
4.28
5.0
5.0
4.79
5.0
4.64
4.33
4.5
4.77
4.72
4.98
5.0
4.67
5.0
4.33
5.0
5.0
4.85
4.5
4.63
4.0
5.0
4.87
4.93
4.95
4.56
4.67
4.67
5.0
4.8
4.0
4.0
4.88
4.61
4.59
4.95
4.75
5.0
4.67
4.5
4.77
4.99
4.95
4.76
4.75
4.65
5.0
4.86
4.73
4.68
5.0
4.53
4.92
4.86
4.33
4.44
4.78
5.0
5.0
4.0
4.8
4.55
4.74
5.0
4.88
4.5
5.0
4.88
4.67
4.81
4.92
4.42
4.4
4.64
4.6
5.0
5.0
4.94
4.67
4.92
4.86
5.0
5.0
5.0
4.85
5.0
4.45
5.0
4.74
4.83
5.0
4.7
4.87
4.56
4.0
4.75
4.86
4.76
4.82
5.0
5.0
4.91
4.9
4.88
4.45
4.81
5.0
4.86
4.7
5.0
4.89
4.8
5.0
4.8
4.93
4.72
4.77
4.8
5.0
4.08
4.71
4.67
5.0
4.91
4.86
4.63
4.0
1.0
4.85
5.0
4.5
4.86
4.67
4.93
4.5
4.82
5.0
4.4
4.69
5.0
4.38
5.0
4.9
4.8
3.56
5.0
4.81
4.7
4.76
4.67
5.0
4.7
5.0
5.0
4.21
4.77
4.0
3.6
5.0
4.89
4.83
4.83
4.0
4.92
4.98
4.83
5.0
4.67
4.0
5.0
5.0
4.67
4.7
4.65
4.88
5.0
4.57
4.67
4.5
4.66
4.89
4.63
4.0
5.0
5.0
4.82
5.0
4.7
4.4
4.4
4.75
4.44
4.64
4.4
4.0
5.0
4.94
5.0
4.83
4.79
4.4
5.0
4.76
5.0
4.29
5.0
4.48
4.5
5.0
5.0
5.0
4.46
5.0
4.33
1.0
4.0
5.0
4.91
4.61
5.0
3.0
4.85
5.0
4.67
4.68
5.0
4.11
4.6
4.2
4.84
4.96
4.23
4.78
4.13
4.95
4.9
4.85
5.0
4.76
4.62
2.4
4.8
5.0
4.5
4.25
5.0
4.5
4.56
5.0
5.0
4.89
5.0
5.0
4.41
5.0
5.0
4.92
4.82
